iter	MultiClass
0	2.499950455
1	2.466445223
2	2.441092232
3	2.428889217
4	2.409957531
5	2.399235032
6	2.389948295
7	2.380391132
8	2.370680011
9	2.36266627
10	2.355505874
11	2.347723591
12	2.339498887
13	2.331928768
14	2.323333558
15	2.320667229
16	2.314864847
17	2.308825406
18	2.302251883
19	2.294873337
20	2.28708227
21	2.280738042
22	2.275369908
23	2.267387365
24	2.260733235
25	2.253627218
26	2.24583524
27	2.238751741
28	2.23088035
29	2.224730817
30	2.218942322
31	2.212390095
32	2.207097817
33	2.203195904
34	2.198846915
35	2.193790112
36	2.189621312
37	2.185075798
38	2.180851622
39	2.176272599
40	2.172478588
41	2.169757892
42	2.164574528
43	2.160473627
44	2.157256718
45	2.154174729
46	2.151432265
47	2.14891699
48	2.14616811
49	2.143434121
50	2.140927465
51	2.139006349
52	2.135960381
53	2.133413705
54	2.130757381
55	2.12813134
56	2.126450024
57	2.123220925
58	2.121206347
59	2.118629079
60	2.115779298
61	2.113562361
62	2.111578668
63	2.109366934
64	2.106251248
65	2.103750111
66	2.101650278
67	2.099729205
68	2.09784931
69	2.095648826
70	2.093689269
71	2.091910925
72	2.090031133
73	2.088592875
74	2.086590007
75	2.084274635
76	2.082576141
77	2.080484971
78	2.078920573
79	2.07747913
80	2.07568477
81	2.073973288
82	2.072183499
83	2.070952423
84	2.068304116
85	2.066896323
86	2.06560347
87	2.063750291
88	2.062436292
89	2.061197664
90	2.059726
91	2.058054069
92	2.057122225
93	2.05591664
94	2.054394722
95	2.0526429
96	2.051579138
97	2.050573735
98	2.049225053
99	2.047921393
