iter	Passed	Remaining
0	8935	884584
1	17535	859250
2	26392	853364
3	35179	844302
4	44335	842372
5	53410	836759
6	62878	835383
7	73241	842271
8	83646	845763
9	93847	844630
10	103561	837909
11	113410	831679
12	123114	823923
13	132129	811653
14	141169	799962
15	149889	786918
16	158695	774808
17	167504	763074
18	176206	751197
19	185044	740179
20	193706	728703
21	202517	718016
22	211163	706937
23	219987	696626
24	228767	686303
25	237536	676066
26	246120	665436
27	254868	655374
28	263722	645664
29	272333	635444
30	281218	625938
31	289870	615974
32	298890	606838
33	307552	597013
34	316329	587469
35	324905	577609
36	333725	568235
37	342334	558545
38	351174	549273
39	359968	539953
40	368655	530504
41	377445	521233
42	386027	511710
43	394921	502626
44	403593	493281
45	412344	484056
46	422382	476303
47	431163	467094
48	439999	457959
49	448665	448665
50	457420	439482
51	466029	430180
52	474828	421074
53	483374	411763
54	492173	402687
55	500722	393424
56	509581	384420
57	518183	375236
58	526940	366178
59	535653	357102
60	544295	347992
61	553132	339016
62	561780	329934
63	570574	320948
64	579170	311860
65	588101	302961
66	596889	293990
67	605719	285044
68	614329	276002
69	623091	267039
70	631889	258095
71	640502	249084
72	649280	240144
73	657841	231133
74	666643	222214
75	676272	213559
76	685044	204623
77	693670	195650
78	702424	186720
79	711613	177903
80	720173	168929
81	728813	159983
82	767238	157145
83	776503	147905
84	784807	138495
85	793082	129106
86	801184	119717
87	809483	110384
88	817544	101044
89	825731	91747
90	833943	82477
91	842673	73275
92	851394	64083
93	860105	54900
94	868991	45736
95	877644	36568
96	886511	27417
97	895199	18269
98	904053	9131
99	912770	0
