date;oktmo;pasta;legumes;bread;flour;rice;groats;potatoes;сucumbers_tomatoes;vegetables;roots;сabbage;fruit;sugar;candy;biscuits;mutton;beef;chicken;pork;fish;herring;curd;sour_creame;butter;milk_kefir;cheese;egg;margarine;oil;salt;spice;tea;cpi_1;cpi_2;cpi_3;pasta_value;legumes_value;bread_value;flour_value;rice_value;groats_value;potatoes_value;сucumbers_tomatoes_value;vegetables_value;roots_value;сabbage_value;fruit_value;sugar_value;candy_value;biscuits_value;mutton_value;beef_value;chicken_value;pork_value;fish_value;herring_value;curd_value;sour_creame_value;butter_value;milk_kefir_value;cheese_value;egg_value;margarine_value;oil_value;salt_value;spice_value;tea_value;ai92;ai95;ai98;dt;ai92_value;ai95_value;ai98_value;dt_value
2019-01-31;3069000000000.0;1775.16;2969.14;2197.2400000000002;896.86;1677.33;1006.91;838.41;4669.23;858.1;1705.52;992.4;3356.4;1538.77;9715.65;6189.04;0.0;6984.46;5697.5;9042.960000000001;0.0;6100.85;11468.32;6675.21;17954.9;1994.27;13719.94;178.02;3892.84;2518.01;520.92;915.92;2226.31;171102.06;146141.86;175082.8;87403.5;14183.98;195232.74;49537.33;28684.27;65570.1;48223.39;43876.55;51230.25;41985.270000000004;24675.77;125893.5;98128.16;25804.17;33329.95;0.0;2230.81;86200.61;16268.31;0.0;9814.07;12229.34;12369.34;9046.79;218243.32;22980.26;1018277.8;1128.8;52014.19;12565.51;108436.5;67863.67;1321.66;1378.1;1396.26;1593.47;1175849.69;696262.42;43693.48;90439.76
2019-02-28;2772000000000.0;1599.02;2927.91;1994.54;862.9;1542.76;900.03;801.09;4705.24;856.49;1620.2;1115.59;3244.0;1385.21;8531.22;5361.13;0.0;5572.93;5180.6;8168.4400000000005;0.0;5743.19;10431.47;6040.83;16159.08;1788.85;12922.59;145.75;3496.2200000000003;2232.85;517.72;825.79;2131.52;158938.05;135612.26;163630.05;83399.58;14116.53;178872.93;48266.61;30502.06;67915.44;36462.8;44680.7;44501.12;45948.24;25040.88;132025.3;98625.42;29873.47;38836.75;0.0;1582.86;87966.73;19395.97;0.0;10438.65;12611.15;12559.98;8909.93;205069.15;23023.82;1101392.0;1203.74;57985.58;12511.28;115651.91;69481.77;1196.0;1247.36;1263.78;1428.86;1079839.9;661670.12;36805.45;71199.31999999999
2019-03-31;3069000000000.0;1869.67;3133.01;2274.9;974.8199999999999;1724.19;1058.61;895.16;4524.5;985.61;1782.86;1357.19;3675.5;1528.34;9596.92;6041.01;0.0;9863.09;5756.24;9140.5;0.0;6349.93;11500.43;6670.6;16870.93;1970.6;14836.3;156.46;2442.87;2489.57;562.46;926.88;2258.23;175833.88;149829.81;180329.13999999998;89717.47;17808.5;189544.17;55395.13;33118.42;68590.44;58056.6;64168.08;49339.63;53991.06;33561.86;151512.8;109831.68;37547.42;41628.3;0.0;3028.43;96936.74;24324.96;0.0;11908.32;14024.33;14367.76;10078.27;229743.41;24197.34;1197497.41;740.8199999999999;60770.58;14667.02;125239.76;74884.72;1321.32;1379.47;1398.48;1575.26;1093659.87;691459.66;44641.21;71820.66
2019-04-30;2970000000000.0;1846.27;3200.2599999999998;2176.5;952.78;1682.76;1030.54;935.65;4276.35;1084.08;1867.36;1429.85;3648.9;1445.28;7906.03;5874.83;0.0;10380.14;5549.42;8822.47;0.0;6134.7;11193.93;6523.9;17945.88;1915.15;14389.27;150.18;2126.22;2408.98;547.28;887.65;2268.86;172577.63;147008.98;177497.7;85441.45999999999;16812.17;181905.68;58942.02;29676.64;66367.69;53390.09;62227.81;45429.81;52528.47;34190.1;142416.5;122841.85;37658.91;40666.57;0.0;3275.66;99330.84;25344.77;0.0;10391.41;13182.619999999999;12460.44;8999.09;205918.93;21896.12;1443497.32;1015.22;58401.549999999996;14040.85;120717.33;68722.37;1276.93;1334.74;1351.29;1476.49;1029153.9299999999;658650.24;44655.48;158613.93
2019-05-31;3069000000000.0;2000.8500000000001;3044.23;2227.22;999.3299999999999;1765.09;1072.8700000000001;1000.75;3687.64;1384.87;1980.33;1477.4;3712.4;1520.26;8043.09;5837.61;0.0;12645.33;5582.18;8713.05;0.0;6687.58;11480.12;6705.6900000000005;19273.27;1987.46;14458.63;152.04;1480.55;2490.41;553.69;942.95;2208.9;178604.35;152289.91;183408.43;90918.21;14762.14;192355.07;45385.0;32327.46;74705.42;70129.99;89707.8;25613.78;48890.7;35995.53;133506.3;99799.17;43149.68;47015.09;0.0;3407.84;107090.42;27806.38;0.0;9859.31;13176.55;13718.91;8792.78;205280.51;23975.68;1272514.45;419.95;59557.97;17989.51;112694.86;72374.37;1330.3;1390.84;1407.89;1505.1399999999999;1008460.7;642240.0;48377.56;360600.44
2019-06-30;2970000000000.0;1900.49;2891.37;2145.41;995.36;1616.47;1024.2;1379.65;2333.33;1238.78;1701.09;1185.66;3300.7;1422.02;7987.32;5802.51;0.0;11281.3;5455.56;8298.88;0.0;6287.05;11110.91;6651.86;18897.079999999998;1922.06;14509.68;142.02;1966.1;2408.58;533.81;904.92;2032.24;171518.46;146289.15;173951.35;85606.97;12340.84;183936.55;41045.2;29184.22;71821.96;73281.77;121856.28;23762.66;44902.08;36886.86;135993.1;128489.99;36389.7;39865.23;0.0;2925.07;91157.03;25433.76;0.0;9905.85;12610.35;12543.35;8207.32;185035.42;21768.72;1127255.14;539.57;55605.45;16050.59;102924.08;65312.03;1297.34;1355.24;1371.78;1451.95;891550.48;567287.33;46078.34;313677.95
2019-07-31;3069000000000.0;1962.95;2999.23;2225.38;1011.06;1786.3799999999999;1012.8;1096.93;1841.08;1265.36;1506.94;926.23;3035.1;1355.8;8777.49;5981.57;0.0;11136.32;5818.33;8009.98;651.28;6147.9400000000005;11468.56;6940.53;20508.17;1998.77;14969.14;138.87;2430.63;2368.37;570.0;878.78;2300.7;169146.17;144652.78;170454.71;83054.63;11385.6;179544.91;42849.26;27721.72;69188.66;99142.67;120282.3;19165.07;36771.03;25139.36;147772.2;172614.36000000002;29055.11;39523.96;0.0;2528.32;92081.3;25549.94;288.73;10948.46;12465.99;12526.23;8083.88;193916.37;21199.72;1155355.0;616.65;59588.53;20319.93;113683.8;58106.77;1343.5;1402.46;1418.11;1493.95;1095536.36;829498.37;63889.93;405227.11
2019-08-31;3069000000000.0;2075.07;2903.34;2242.63;1031.25;1746.98;1106.92;1192.01;2396.74;1240.59;1537.97;879.9399999999999;3163.2;1301.83;9779.63;6143.74;0.0;10014.08;5759.65;8471.47;0.0;6493.68;11763.5;7146.97;20986.53;2113.25;15399.74;141.91;3030.1;2433.51;577.79;946.2;2124.96;170987.88;146078.16999999998;173319.23;78158.26;11071.98;176987.05;44848.17;27800.79;60979.33;68123.75;63247.7;19194.87;28209.94;18168.14;120369.5;120706.84;22630.44;37312.15;0.0;4012.27;92505.1;25006.21;0.0;10735.75;11636.52;11060.86;8527.38;175168.78;21064.43;1090367.82;790.56;59864.36;18296.67;116938.13;59153.51;1350.8;1409.79;1424.1399999999999;1493.15;1165545.3699999999;911008.5700000001;91365.45;420388.2
2019-09-30;2970000000000.0;1943.73;2899.41;2196.64;1024.74;1639.33;1139.68;1072.76;2852.7599999999998;991.18;1534.22;846.55;3293.9;1239.12;9599.16;5980.92;0.0;10197.75;5835.12;8450.49;0.0;6632.83;10897.56;6790.2;20192.63;2063.89;15171.86;142.37;2563.33;2361.32;554.3;889.17;2206.82;165752.91;141440.44;169137.94;78128.63;11253.07;179477.45;41187.05;26857.53;52422.6;67686.38;52896.32;31789.27;30817.3;16538.25;100488.3;93927.55;21058.68;37165.17;0.0;4467.89;83409.19;23072.69;0.0;8883.06;11789.15;10939.56;8932.69;165940.8;19397.6;1055255.23;727.46;56725.62;16210.68;107567.48;66754.84;1311.23;1368.24;1382.12;1444.51;1013503.25;790624.35;63871.7;375379.69
2019-10-31;3069000000000.0;2026.59;3274.55;2284.4;1039.78;1300.23;1214.11;894.39;3654.3;912.3;1506.66;745.16;3489.9;1217.16;9922.1;6185.51;0.0;11048.07;5931.37;8460.27;0.0;6813.15;10850.34;6935.93;21434.57;2134.7;14857.31;152.24;2903.7;2465.99;582.77;894.95;2309.09;169140.32;144306.63;173882.94;77270.07;12017.03;181260.37;43668.46;36418.14;56930.49;84014.91;52982.8;27931.91;33530.79;20230.46;107805.09999999999;123366.89;24037.38;38450.89;0.0;3897.17;83100.39;24529.03;0.0;8468.02;14121.43;11614.119999999999;8938.82;172065.53;21972.92;1082385.35;806.26;53586.97;16373.82;99527.93;63478.96;1362.06;1417.94;1432.35;1444.96;1156410.74;908654.03;76362.7;311101.37
